,player_id,year,salary,age,ops,ops_lg,season_ops,lg_wOBAScale,ops_1,so_1,ops_2,ops_prev_2,bb%_prev_2,k%_prev_2,XBA%_prev_2,ab_prev_2,avg_prev_2,BABIP_prev_2,hr_prev_2,sb_prev_2,g_c_prev_2,g_1b_prev_2,g_2b_prev_2,g_3b_prev_2,g_ss_prev_2,g_of_prev_2,g_dh_prev_2,power,speed,contact,lucky_1,lucky_2
0,abbotku01,1996,250000,27,0.735,0.7671280802263438,0.755118093174431,1.171,0.773,110.0,0.687,0.73,0.060024880779597764,0.24959683921948073,0.36486633340578134,382.5,0.2520186335403727,0.3114233780760627,13.0,3.5,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0,0,0,1,1
1,abbotku01,1997,650000,28,0.747,0.7560339841404525,0.7573866525423734,1.2009999999999998,0.735,99.0,0.773,0.754,0.06998016310337227,0.25935517840961964,0.39996538594669434,370.0,0.2539434523809524,0.3223682137568138,12.5,3.5,0.0,0.0,10.0,16.5,79.5,0.0,0.0,0,0,0,1,1
2,abbotku01,1999,900000,30,0.741,0.7783928694791957,0.7585058823529409,1.156,0.747,68.0,0.735,0.741,0.05715965028285945,0.2663759354303767,0.39210950080515294,286.0,0.2634672619047619,0.34832779448224926,7.0,3.0,0.0,0.0,37.0,18.5,25.5,5.0,0.0,0,0,0,1,1
3,abreubo01,2000,2933333,26,0.972,0.7820611493881746,0.7573866525423734,1.147,0.998,113.0,0.908,0.9530000000000001,0.15363358449725328,0.1982506578306208,0.34806980433633,521.5,0.3235180312645101,0.3920248416651294,18.5,23.0,0.0,0.0,0.0,0.0,0.0,146.0,2.5,0,0,1,1,1
4,abreubo01,2001,4983000,27,0.941,0.7588417207949596,0.7626689814814817,1.182,0.972,116.0,0.998,0.985,0.1558556957526213,0.17064154967122802,0.39186633039092056,561.0,0.3255685286935287,0.3746673893761703,22.5,27.5,0.0,0.0,0.0,0.0,0.0,149.0,2.5,0,0,1,1,1
5,abreubo01,2002,6333333,28,0.938,0.7478627025086022,0.7585058823529409,1.2109999999999999,0.941,137.0,0.972,0.9564999999999999,0.14881350267379678,0.1825952540106952,0.45565610859728506,582.0,0.3025439342403628,0.34122840629689943,28.0,32.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0,1,1,1,1
6,abreubo01,2003,9100000,29,0.881,0.7546290066557411,0.7669457142857142,1.194,0.938,117.0,0.941,0.9395,0.151196499668215,0.18270259621765095,0.46002673796791443,580.0,0.29840397697540555,0.3388754103039817,25.5,33.5,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0,1,0,1,1
7,abreubo01,2004,10600000,30,0.976,0.7628855888465241,0.7652511485451764,1.18,0.881,126.0,0.938,0.9095,0.15432967494617444,0.17604894186840309,0.3777588018917499,574.5,0.3037594987335022,0.3515282825458951,20.0,26.5,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0,0,1,1,1
8,abreubo01,2005,13100000,31,0.884,0.7492401414009433,0.762830018083183,1.208,0.976,116.0,0.881,0.9285,0.16747757474245006,0.17199390557680083,0.3872832369942196,575.5,0.3006102089988466,0.3390253503385294,25.0,31.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0,1,1,0,1
9,abreubo01,2006,13600000,32,0.891,0.7684427260637936,0.7670443458980051,1.17,0.884,134.0,0.976,0.9299999999999999,0.1704233127278615,0.1745314027001036,0.4099573355353702,581.0,0.2935540069686411,0.32875137773578966,27.0,35.5,0.0,0.0,0.0,0.0,0.0,158.0,1.5,0,1,0,1,0
10,abreubo01,2007,15000000,33,0.817,0.7584783440586799,0.7692577319587628,1.192,0.891,138.0,0.884,0.8875,0.17174201291881744,0.19376806951669998,0.36243791995325736,568.0,0.2915797705943691,0.34755187847551877,19.5,30.5,0.0,0.0,0.0,0.0,0.0,156.0,2.5,0,1,0,1,1
11,abreubo01,2008,16000000,34,0.843,0.7493073891910446,0.7626413373860182,1.2109999999999999,0.817,115.0,0.891,0.854,0.15046484565622692,0.18284346233895152,0.35627668352886305,576.5,0.29004494178681306,0.34429097795434427,15.5,27.5,0.0,0.0,0.0,0.0,0.0,155.5,1.5,0,0,0,1,1
12,abreubo01,2009,5000000,35,0.83,0.7506919807196188,0.7754897119341563,1.21,0.843,109.0,0.817,0.83,0.11344841000928645,0.1619387345330422,0.3533625730994152,607.0,0.28910556528111386,0.3274428274428275,18.0,23.5,0.0,0.0,0.0,0.0,0.0,153.5,2.5,0,0,0,1,1
